Number,Name,Location,Mother Advisor,email,Active
1,Clayton,Clayton,,,0
2,Roswell,Roswell,,,0
3,Raton,Raton,,,0
4,Tucumcari,Fort Sumner,Mrs. Mary McClain,,1
5,Portales,Portales,,,0
6,CA Floyd Gallup,Gallup,,,0
7,Carrizozo,Carrizozo,,,0
8,Clovis,Fort Sumner,Mrs. Mary McClain,,1
9,Santa Rita-Hurley,Santa Rita,,,0
10,Santa Fe,Santa Fe,,,0
11,Belen,Belen,,,0
12,Las Cruces,Las Cruces,,,0
13,Springer,Springer,,,0
14,Deming,Deming,,,0
15,Hobbs,Hobbs,,,0
16,Dawson,Dawson,,,0
17,Lordsburg,Lordsburg,,,0
18,Alamogordo,Alamogordo,Mrs. Carol Epperson,,1
19,Fort Sumner,Fort Sumner,,,0
20,Albuquerque,Albuquerque,,,0
21,Silver City,Silver City,,,0
22,Elida,Elida,,,0
23,Las Vegas,Las Vegas,,,0
24,Lovington,Lovington,,,0
25,Faith,Clovis,,,0
26,Hatch,Hatch,,,0
27,Hot Springs,Truth or Consequences,,,0
28,Socorro,Socorro,,,0
29,Carlsbad,Carlsbad,,,0
30,Aztec,Aztec,,,0
31,Santa Rosa,Santa Rosa,,,0
32,Artesia,Artesia,,,0
33,Anthony,Anthony,,,0
34,Hagerman,Hagerman,,,0
35,Farmington,Farmington,Mrs. Susan Boyles,,1
36,Los Alamos,Los Alamos,,,0
37,Melrose,Melrose,,,0
38,Espanola,Espanola,,,0
39,Estancia,Estancia,,,0
40,Taos,Taos,,,0
41,Tularosa,Tularosa,,,0
42,Love,Carlsbad,,,0
43,Hope,Las Cruces,,,0
44,Chaparral,Chaparral,,,0
45,Eunice,Eunice,,,0
46,Jal,Jal,,,0
47,Santa Rita,Santa Rita,,,0
48,W. Mark Sexson,Hobbs,,,0
49,Zia,Roswell,,,0
50,Friendship,Albuquerque,,,0
51,Mountainair,Mountainair,,,0
52,Ruidoso,Ruidoso,,,0
53,Grants,Grants,,,0
54,Tyrone,Tyrone,,,0
55,Ruth Laws,Las Cruces,Mrs. Nicky Phillips,,1
56,Enchanted,Albuquerque,,,0
57,Inspiration,Chama,,,0
58,Ashlar,Albuquerque,Mrs. Patty Campbell,,1
59,CA Floyd,Gallup,,,0
60,Dorothy Pitsford,Estancia,Mrs. Jaci Crosswhite,,1
61,Rio Rancho,Rio Rancho,Mrs. Christine Wurst,,1
62,Copper Rose,Silver City,Mrs. Sabrina Pack,,1